,Efficiency
WAW,1.0
KRK,1.0000000000005858
KAT,1.6914488458666666
WRO,0.9999999999971897
POZ,1.2609364538461538
LCJ,3.8162618533333337
GDN,1.0
SZZ,4.202414766666667
BZG,1.0000000000047546
RZE,2.443892023666667
IEG,40.0
